DATE,TIME,SPO2,PULSE
0000-00-00, 00:00:00, 127, 255
0000-00-00, 00:00:01, 127, 255
0000-00-00, 00:00:02, 127, 255
0000-00-00, 00:00:03, 127, 255
0000-00-00, 00:00:04, 127, 255
0000-00-00, 00:00:05, 127, 255
0000-00-00, 00:00:06, 127, 255
0000-00-00, 00:00:07, 127, 255
0000-00-00, 00:00:08, 127, 255
0000-00-00, 00:00:09, 127, 255
0000-00-00, 00:00:10, 127, 255
0000-00-00, 00:00:11, 127, 255
0000-00-00, 00:00:12, 127, 255
0000-00-00, 00:00:13, 127, 255
0000-00-00, 00:00:14, 127, 255
0000-00-00, 00:00:15, 127, 255
0000-00-00, 00:00:16, 127, 255
0000-00-00, 00:00:17, 127, 255
0000-00-00, 00:00:18, 127, 255
0000-00-00, 00:00:19, 127, 255
0000-00-00, 00:00:20, 127, 255
0000-00-00, 00:00:21, 94, 82
0000-00-00, 00:00:22, 94, 82
0000-00-00, 00:00:23, 94, 82
0000-00-00, 00:00:24, 94, 82
0000-00-00, 00:00:25, 94, 82
0000-00-00, 00:00:26, 94, 82
0000-00-00, 00:00:27, 93, 82
0000-00-00, 00:00:28, 93, 82
0000-00-00, 00:00:29, 93, 82
0000-00-00, 00:00:30, 93, 82
0000-00-00, 00:00:31, 93, 82
0000-00-00, 00:00:32, 94, 82
0000-00-00, 00:00:33, 95, 82
0000-00-00, 00:00:34, 95, 82
0000-00-00, 00:00:35, 95, 82
0000-00-00, 00:00:36, 95, 82
0000-00-00, 00:00:37, 96, 82
0000-00-00, 00:00:38, 95, 82
0000-00-00, 00:00:39, 95, 82
0000-00-00, 00:00:40, 95, 82
0000-00-00, 00:00:41, 95, 82
0000-00-00, 00:00:42, 95, 81
0000-00-00, 00:00:43, 95, 82
0000-00-00, 00:00:44, 96, 82
0000-00-00, 00:00:45, 96, 82
0000-00-00, 00:00:46, 97, 82
0000-00-00, 00:00:47, 97, 82
0000-00-00, 00:00:48, 97, 82
0000-00-00, 00:00:49, 97, 82
0000-00-00, 00:00:50, 97, 75
0000-00-00, 00:00:51, 97, 75
0000-00-00, 00:00:52, 97, 75
0000-00-00, 00:00:53, 97, 75
0000-00-00, 00:00:54, 97, 75
0000-00-00, 00:00:55, 97, 75
0000-00-00, 00:00:56, 97, 75
0000-00-00, 00:00:57, 97, 75
0000-00-00, 00:00:58, 97, 75
0000-00-00, 00:00:59, 97, 75
0000-00-00, 00:01:00, 96, 74
0000-00-00, 00:01:01, 96, 74
0000-00-00, 00:01:02, 96, 74
0000-00-00, 00:01:03, 96, 74
0000-00-00, 00:01:04, 96, 74
0000-00-00, 00:01:05, 96, 74
0000-00-00, 00:01:06, 96, 74
0000-00-00, 00:01:07, 96, 74
0000-00-00, 00:01:08, 97, 74
0000-00-00, 00:01:09, 97, 74
0000-00-00, 00:01:10, 97, 74
0000-00-00, 00:01:11, 97, 74
0000-00-00, 00:01:12, 97, 74
0000-00-00, 00:01:13, 97, 74
0000-00-00, 00:01:14, 97, 74
0000-00-00, 00:01:15, 97, 74
0000-00-00, 00:01:16, 97, 74
0000-00-00, 00:01:17, 97, 74
0000-00-00, 00:01:18, 97, 74
0000-00-00, 00:01:19, 97, 74
0000-00-00, 00:01:20, 97, 74
0000-00-00, 00:01:21, 97, 74
0000-00-00, 00:01:22, 97, 74
0000-00-00, 00:01:23, 97, 74
0000-00-00, 00:01:24, 97, 74
0000-00-00, 00:01:25, 97, 74
0000-00-00, 00:01:26, 97, 74
0000-00-00, 00:01:27, 97, 74
0000-00-00, 00:01:28, 97, 74
0000-00-00, 00:01:29, 97, 74
0000-00-00, 00:01:30, 97, 75
0000-00-00, 00:01:31, 97, 75
0000-00-00, 00:01:32, 97, 76
0000-00-00, 00:01:33, 97, 76
0000-00-00, 00:01:34, 97, 76
0000-00-00, 00:01:35, 97, 76
0000-00-00, 00:01:36, 96, 77
0000-00-00, 00:01:37, 96, 78
0000-00-00, 00:01:38, 96, 77
0000-00-00, 00:01:39, 96, 77
0000-00-00, 00:01:40, 96, 76
0000-00-00, 00:01:41, 96, 76
0000-00-00, 00:01:42, 96, 76
0000-00-00, 00:01:43, 96, 76
0000-00-00, 00:01:44, 96, 76
0000-00-00, 00:01:45, 96, 76
0000-00-00, 00:01:46, 96, 76
0000-00-00, 00:01:47, 96, 76
0000-00-00, 00:01:48, 96, 76
0000-00-00, 00:01:49, 96, 76
0000-00-00, 00:01:50, 96, 76
0000-00-00, 00:01:51, 96, 76
0000-00-00, 00:01:52, 96, 76
0000-00-00, 00:01:53, 96, 76
0000-00-00, 00:01:54, 97, 76
0000-00-00, 00:01:55, 97, 75
0000-00-00, 00:01:56, 97, 75
0000-00-00, 00:01:57, 97, 75
